Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.751202,0.763722,0.743690,0.748698,0.126780,2156544
1962-01-03,0.744942,0.744942,0.738682,0.741186,0.125508,1477632
1962-01-04,0.741186,0.747446,0.726162,0.732422,0.124024,1837056
1962-01-05,0.732422,0.733674,0.701122,0.713642,0.120844,2725632
1962-01-08,0.713642,0.713642,0.691106,0.712390,0.120632,3095040
1962-01-09,0.712390,0.722406,0.707382,0.716146,0.121268,2326272
1962-01-10,0.716146,0.723658,0.713642,0.719902,0.121904,1956864
1962-01-11,0.719902,0.721154,0.707382,0.721154,0.122116,1627392
1962-01-12,0.721154,0.722406,0.708634,0.711138,0.120420,1687296
1962-01-15,0.712390,0.721154,0.712390,0.718650,0.121692,2116608
1962-01-16,0.718650,0.727414,0.713642,0.724910,0.122752,1387776
1962-01-17,0.723658,0.723658,0.703626,0.708634,0.119996,2136576
1962-01-18,0.708634,0.716146,0.707382,0.716146,0.121268,1477632
1962-01-19,0.716146,0.722406,0.716146,0.722406,0.122328,1327872
1962-01-22,0.723658,0.733674,0.723658,0.724910,0.122752,1417728
1962-01-23,0.722406,0.722406,0.708634,0.711138,0.120420,2276352
1962-01-24,0.711138,0.727414,0.708634,0.724910,0.122752,1597440
1962-01-25,0.724910,0.729918,0.712390,0.717398,0.121480,1587456
1962-01-26,0.717398,0.718650,0.712390,0.714894,0.121056,1008384
1962-01-29,0.714894,0.718650,0.713642,0.716146,0.121268,1018368
1962-01-30,0.724910,0.736178,0.724910,0.728666,0.123388,1777152
1962-01-31,0.728666,0.751202,0.727414,0.751202,0.127204,1876992
1962-02-01,0.751202,0.754958,0.738682,0.746194,0.126356,2565888
1962-02-02,0.746194,0.749950,0.741186,0.749950,0.126992,1477632
1962-02-05,0.748698,0.748698,0.736178,0.736178,0.124660,1407744
1962-02-06,0.738682,0.746194,0.738682,0.743690,0.125932,1038336
1962-02-07,0.743690,0.751202,0.741186,0.751202,0.127204,1687296
1962-02-08,0.751202,0.756210,0.749950,0.756210,0.128052,1757184
1962-02-09,0.756210,0.756210,0.742438,0.752454,0.127416,1507584
1962-02-12,0.752454,0.754958,0.748698,0.752454,0.127416,818688
1962-02-13,0.753706,0.761218,0.753706,0.761218,0.128900,1208064
1962-02-14,0.761218,0.769982,0.759966,0.767478,0.129960,1617408
1962-02-15,0.768730,0.781250,0.768730,0.778746,0.131868,1867008
1962-02-16,0.778746,0.779998,0.767478,0.773738,0.131020,2336256
1962-02-19,0.773738,0.777494,0.763722,0.767478,0.129960,1557504
1962-02-20,0.767478,0.767478,0.756210,0.766226,0.129748,1068288
1962-02-21,0.766226,0.769982,0.758714,0.763722,0.129324,1078272
1962-02-23,0.763722,0.764974,0.754958,0.756210,0.128052,1627392
1962-02-26,0.756210,0.758714,0.739934,0.746194,0.126356,1257984
1962-02-27,0.746194,0.751202,0.744942,0.751202,0.127204,928512
1962-02-28,0.751202,0.753706,0.744942,0.747446,0.126568,1657344
1962-03-01,0.751202,0.761218,0.751202,0.761218,0.128900,908544
1962-03-02,0.762470,0.771234,0.762470,0.766226,0.129748,1257984
1962-03-05,0.767478,0.773738,0.767478,0.767478,0.129960,1387776
1962-03-06,0.767478,0.768730,0.753706,0.756210,0.128052,938496
1962-03-07,0.756210,0.764974,0.756210,0.761218,0.128900,1008384
1962-03-08,0.761218,0.774990,0.758714,0.772486,0.130808,1767168
1962-03-09,0.776242,0.785006,0.776242,0.783754,0.132716,1976832
1962-03-12,0.783754,0.786258,0.781250,0.785006,0.132928,2106624
1962-03-13,0.785006,0.785006,0.776242,0.781250,0.133142,1287936
1962-03-14,0.781250,0.782502,0.772486,0.777494,0.132502,1088256
1962-03-15,0.777494,0.786258,0.773738,0.779998,0.132928,1886976
1962-03-16,0.781250,0.786258,0.781250,0.785006,0.133782,1038336
1962-03-19,0.785006,0.785006,0.776242,0.776242,0.132288,1108224
1962-03-20,0.776242,0.778746,0.773738,0.776242,0.132288,848640
1962-03-21,0.776242,0.778746,0.773738,0.774990,0.132075,1607424
1962-03-22,0.774990,0.777494,0.771234,0.771234,0.131435,1018368
1962-03-23,0.772486,0.781250,0.772486,0.781250,0.133142,1277952
1962-03-26,0.779998,0.779998,0.768730,0.768730,0.131008,1158144
1962-03-27,0.768730,0.774990,0.766226,0.774990,0.132075,1248000
1962-03-28,0.776242,0.785006,0.776242,0.779998,0.132928,1327872
1962-03-29,0.779998,0.786258,0.774990,0.778746,0.132715,1168128
1962-03-30,0.778746,0.779998,0.764974,0.769982,0.131221,1467648
1962-04-02,0.768730,0.768730,0.763722,0.766226,0.130581,1138176
1962-04-03,0.766226,0.766226,0.752454,0.757462,0.129088,1697280
1962-04-04,0.757462,0.764974,0.756210,0.758714,0.129301,1367808
1962-04-05,0.758714,0.764974,0.752454,0.764974,0.130368,1767168
1962-04-06,0.764974,0.768730,0.758714,0.759966,0.129514,1407744
1962-04-09,0.759966,0.762470,0.757462,0.758714,0.129301,1188096
1962-04-10,0.757462,0.757462,0.747446,0.747446,0.127381,1427712
1962-04-11,0.747446,0.754958,0.729918,0.733674,0.125034,1257984
1962-04-12,0.733674,0.737430,0.727414,0.729918,0.124394,1437696
1962-04-13,0.731170,0.757462,0.731170,0.748698,0.127594,1707264
1962-04-16,0.748698,0.749950,0.736178,0.742438,0.126527,1517568
1962-04-17,0.742438,0.746194,0.741186,0.743690,0.126741,1437696
1962-04-18,0.743690,0.746194,0.736178,0.741186,0.126314,3524352
1962-04-19,0.741186,0.744942,0.739934,0.742438,0.126527,1018368
1962-04-23,0.742438,0.744942,0.738682,0.738682,0.125887,1727232
1962-04-24,0.738682,0.739934,0.733674,0.733674,0.125034,2226432
1962-04-25,0.733674,0.737430,0.723658,0.723658,0.123327,2206464
1962-04-26,0.723658,0.732422,0.721154,0.723658,0.123327,1437696
1962-04-27,0.723658,0.734926,0.706130,0.711138,0.121193,2136576
1962-04-30,0.711138,0.716146,0.676082,0.686098,0.116926,2765568
1962-05-01,0.686098,0.706130,0.676082,0.702374,0.119699,3184896
1962-05-02,0.703626,0.717398,0.703626,0.708634,0.120766,2905344
1962-05-03,0.712390,0.721154,0.712390,0.721154,0.122900,3115008
1962-05-04,0.721154,0.723658,0.712390,0.718650,0.122473,1976832
1962-05-07,0.718650,0.719902,0.707382,0.711138,0.121193,2086656
1962-05-08,0.711138,0.711138,0.704878,0.709886,0.120980,1547520
1962-05-09,0.709886,0.711138,0.703626,0.708634,0.120766,2186496
1962-05-10,0.708634,0.713642,0.697366,0.702374,0.119699,2645760
1962-05-11,0.702374,0.711138,0.691106,0.693610,0.118206,3873792
1962-05-14,0.693610,0.704878,0.684846,0.704878,0.120126,3025152
1962-05-15,0.704878,0.713642,0.704878,0.708634,0.120766,2625792
1962-05-16,0.708634,0.711138,0.706130,0.709886,0.120980,1737216
1962-05-17,0.709886,0.714894,0.706130,0.709886,0.120980,808704
1962-05-18,0.712390,0.719902,0.712390,0.719902,0.122687,1876992
1962-05-21,0.719902,0.719902,0.713642,0.713642,0.121620,1387776
1962-05-22,0.713642,0.714894,0.696114,0.696114,0.118633,1687296
1962-05-23,0.691106,0.691106,0.678586,0.682342,0.116286,2206464
1962-05-24,0.682342,0.689854,0.671074,0.673578,0.114792,2845440
1962-05-25,0.673578,0.673578,0.652294,0.659806,0.112445,2545920
1962-05-28,0.657302,0.657302,0.622246,0.626002,0.106684,4233216
1962-05-29,0.626002,0.659806,0.600962,0.652294,0.111165,7797504
1962-05-31,0.654798,0.671074,0.654798,0.658554,0.112232,4343040
1962-06-01,0.658554,0.664814,0.651042,0.661058,0.112658,2735616
1962-06-04,0.659806,0.659806,0.631010,0.631010,0.107538,2016768
1962-06-05,0.631010,0.651042,0.626002,0.634766,0.108178,3174912
1962-06-06,0.642278,0.661058,0.642278,0.642278,0.109458,2196480
1962-06-07,0.644782,0.654798,0.644782,0.644782,0.109885,1058304
1962-06-08,0.647286,0.659806,0.647286,0.651042,0.110952,1337856
1962-06-11,0.651042,0.657302,0.644782,0.649790,0.110738,1178112
1962-06-12,0.642278,0.642278,0.612230,0.614734,0.105578,2735616
1962-06-13,0.614734,0.629758,0.610978,0.613482,0.105363,2775552
1962-06-14,0.613482,0.626002,0.608474,0.609726,0.104717,579072
1962-06-15,0.609726,0.628506,0.600962,0.628506,0.107943,3504384
1962-06-18,0.627254,0.627254,0.610978,0.618490,0.106223,2246400
1962-06-19,0.618490,0.619742,0.609726,0.614734,0.105578,1277952
1962-06-20,0.612230,0.612230,0.600962,0.600962,0.103212,2456064
1962-06-21,0.600962,0.600962,0.580929,0.580929,0.099772,3045120
1962-06-22,0.578425,0.578425,0.554637,0.555889,0.095471,3324672
1962-06-25,0.555889,0.565905,0.543369,0.560897,0.096331,4622592
1962-06-26,0.560897,0.567157,0.555889,0.555889,0.095471,3384576
1962-06-27,0.555889,0.564653,0.552133,0.564653,0.096976,1777152
1962-06-28,0.574669,0.592198,0.574669,0.588442,0.101062,2625792
1962-06-29,0.592198,0.604718,0.592198,0.595954,0.102352,2196480
1962-07-02,0.595954,0.637270,0.592198,0.629758,0.108158,1976832
1962-07-03,0.629758,0.638522,0.620994,0.629758,0.108158,3184896
1962-07-05,0.629758,0.643530,0.629758,0.643530,0.110523,1757184
1962-07-06,0.637270,0.637270,0.620994,0.629758,0.108158,1557504
1962-07-09,0.629758,0.639774,0.618490,0.634766,0.109018,1737216
1962-07-10,0.634766,0.653546,0.633514,0.637270,0.109448,2935296
1962-07-11,0.637270,0.643530,0.628506,0.641026,0.110093,1447680
1962-07-12,0.646034,0.657302,0.646034,0.649790,0.111598,2446080
1962-07-13,0.648538,0.648538,0.633514,0.644782,0.110738,1936896
1962-07-16,0.643530,0.643530,0.634766,0.643530,0.110523,988416
1962-07-17,0.641026,0.641026,0.624750,0.624750,0.107298,1307904
1962-07-18,0.620994,0.620994,0.612230,0.615986,0.105793,1557504
1962-07-19,0.615986,0.632262,0.614734,0.626002,0.107513,1507584
1962-07-20,0.626002,0.637270,0.624750,0.628506,0.107943,1008384
1962-07-23,0.629758,0.638522,0.629758,0.637270,0.109448,968448
1962-07-24,0.637270,0.639774,0.628506,0.628506,0.107943,988416
1962-07-25,0.628506,0.628506,0.613482,0.626002,0.107513,918528
1962-07-26,0.626002,0.638522,0.626002,0.638522,0.109663,1248000
1962-07-27,0.638522,0.644782,0.632262,0.637270,0.109448,1457664
1962-07-30,0.637270,0.648538,0.637270,0.648538,0.111383,1058304
1962-07-31,0.651042,0.667318,0.651042,0.664814,0.114178,2865408
1962-08-01,0.664814,0.666066,0.658554,0.661058,0.113533,1427712
1962-08-02,0.661058,0.666066,0.661058,0.666066,0.114394,1178112
1962-08-03,0.666066,0.671074,0.664814,0.671074,0.115254,1537536
1962-08-06,0.669822,0.669822,0.657302,0.658554,0.113103,1537536
1962-08-07,0.658554,0.659806,0.653546,0.657302,0.112888,1597440
1962-08-08,0.657302,0.657302,0.644782,0.657302,0.112888,1038336
1962-08-09,0.657302,0.663562,0.654798,0.658554,0.113103,1188096
1962-08-10,0.658554,0.667318,0.657302,0.664814,0.114178,1547520
1962-08-13,0.664814,0.664814,0.656050,0.658554,0.113103,1218048
1962-08-14,0.661058,0.676082,0.661058,0.676082,0.116114,2176512
1962-08-15,0.676082,0.678586,0.671074,0.673578,0.115684,1507584
1962-08-16,0.673578,0.679838,0.673578,0.676082,0.116114,1357824
1962-08-17,0.677334,0.684846,0.677334,0.682342,0.117189,1457664
1962-08-20,0.682342,0.692358,0.678586,0.681090,0.116974,1547520
1962-08-21,0.681090,0.689854,0.678586,0.681090,0.116974,1168128
1962-08-22,0.683594,0.696114,0.683594,0.696114,0.119554,1487616
1962-08-23,0.696114,0.699870,0.692358,0.693610,0.119124,1447680
1962-08-24,0.693610,0.694862,0.676082,0.681090,0.116974,2046720
1962-08-27,0.681090,0.687350,0.672326,0.672326,0.115469,1257984
1962-08-28,0.673578,0.682342,0.673578,0.677334,0.116329,1637376
1962-08-29,0.677334,0.678586,0.671074,0.676082,0.116114,1038336
1962-08-30,0.677334,0.683594,0.677334,0.678586,0.116544,1238016
1962-08-31,0.678586,0.686098,0.678586,0.686098,0.117834,818688
1962-09-04,0.686098,0.687350,0.667318,0.667318,0.114609,1048320
