Date,Open,High,Low,Close
01/01/2010,5412.88,5431.9,5390.39,5412.88
04/01/2010,5412.88,5500.34,5410.82,5500.34
05/01/2010,5500.34,5536.38,5480.71,5522.5
06/01/2010,5522.5,5536.48,5497.65,5530.04
07/01/2010,5530.04,5551.66,5499.8,5526.72
08/01/2010,5526.72,5549.25,5494.79,5534.24
11/01/2010,5534.24,5600.48,5527.89,5538.07
12/01/2010,5538.07,5549.61,5459.94,5498.71
13/01/2010,5498.71,5509.67,5450.85,5473.48
14/01/2010,5473.48,5521.9,5473.55,5498.2
15/01/2010,5498.2,5527.02,5450.38,5455.37
18/01/2010,5455.37,5504,5454.31,5494.39
19/01/2010,5494.39,5531.93,5431.25,5513.14
20/01/2010,5513.14,5511.75,5404.03,5420.8
21/01/2010,5420.8,5468.38,5331.56,5335.1
22/01/2010,5335.1,5345.6,5253.04,5302.99
25/01/2010,5302.99,5330.61,5252.92,5260.31
26/01/2010,5260.31,5276.85,5215.73,5276.85
27/01/2010,5276.85,5276.77,5192.58,5217.47
28/01/2010,5217.47,5280.36,5145.74,5145.74
29/01/2010,5145.74,5230.16,5146.03,5188.52
01/02/2010,5188.52,5250.07,5163.57,5247.41
02/02/2010,5247.41,5289.05,5208.21,5283.31
03/02/2010,5283.31,5305.41,5237.72,5253.15
04/02/2010,5253.15,5262.22,5123.86,5139.31
05/02/2010,5139.31,5139.13,5033.78,5060.92
08/02/2010,5060.92,5118.12,5033.01,5092.33
09/02/2010,5092.33,5132.93,5084.75,5111.84
10/02/2010,5111.84,5181.21,5105.3,5131.99
11/02/2010,5131.99,5201.82,5114.53,5161.48
12/02/2010,5161.48,5207.73,5117.38,5142.45
15/02/2010,5142.45,5194.29,5142.59,5167.47
16/02/2010,5167.47,5248.08,5167.51,5244.06
17/02/2010,5244.06,5304.54,5244.14,5276.64
18/02/2010,5276.64,5326.42,5261.71,5325.09
19/02/2010,5325.09,5366.14,5281.41,5358.17
22/02/2010,5358.17,5387.03,5348.15,5352.07
23/02/2010,5352.07,5395.48,5302.03,5315.09
24/02/2010,5315.09,5357.87,5298.23,5342.92
25/02/2010,5342.92,5370.44,5259.71,5278.22
26/02/2010,5278.22,5367.75,5278.46,5354.52
01/03/2010,5354.52,5420.83,5354.75,5405.94
02/03/2010,5405.94,5485.01,5403.73,5484.06
03/03/2010,5484.06,5541.81,5465.29,5533.21
04/03/2010,5533.21,5544.23,5501.08,5527.16
05/03/2010,5527.16,5605.38,5528.96,5599.76
08/03/2010,5599.76,5621.15,5579.16,5606.72
09/03/2010,5606.72,5618.43,5563.14,5602.3
10/03/2010,5602.3,5645.25,5585.35,5640.57
11/03/2010,5640.57,5642.87,5594.74,5617.26
12/03/2010,5617.26,5646.68,5612.39,5625.65
15/03/2010,5625.65,5627.02,5588.2,5593.85
16/03/2010,5593.85,5637.7,5593.89,5620.43
17/03/2010,5620.43,5657.77,5620.45,5644.63
18/03/2010,5644.63,5660.99,5619.17,5642.62
19/03/2010,5642.62,5691.22,5633.53,5650.12
22/03/2010,5650.12,5648.01,5583.49,5644.54
23/03/2010,5644.54,5695.94,5644.58,5673.63
24/03/2010,5673.63,5698.87,5636.01,5677.88
25/03/2010,5677.88,5737.1,5673.14,5727.65
26/03/2010,5727.65,5727.61,5695.5,5703.02
29/03/2010,5703.02,5733.11,5684.62,5710.66
30/03/2010,5710.66,5742.75,5662.84,5672.32
31/03/2010,5672.32,5698.47,5646.29,5679.64
01/04/2010,5679.64,5744.89,5679.48,5744.89
02/04/2010,5744.89,5744.89,5679.48,5744.89
05/04/2010,5744.89,5744.89,5679.48,5744.89
06/04/2010,5744.89,5790.4,5744.59,5780.35
07/04/2010,5780.35,5782.25,5753.42,5762.06
08/04/2010,5762.06,5762.04,5684.52,5712.7
09/04/2010,5712.7,5773.6,5712.88,5770.98
12/04/2010,5770.98,5803.71,5755.78,5777.65
13/04/2010,5777.65,5778.92,5741.92,5761.66
14/04/2010,5761.66,5812.84,5762.44,5796.25
15/04/2010,5796.25,5832.34,5778.37,5825.01
16/04/2010,5825.01,5833.73,5726.35,5743.96
19/04/2010,5743.96,5748.33,5697.24,5727.91
20/04/2010,5727.91,5796.61,5730.04,5783.69
21/04/2010,5783.69,5796.99,5721.28,5723.43
22/04/2010,5723.43,5761.36,5652.35,5665.33
23/04/2010,5665.33,5740.88,5665.98,5723.65
26/04/2010,5723.65,5800.66,5723.74,5753.85
27/04/2010,5753.85,5758.64,5603.52,5603.52
28/04/2010,5603.52,5639.98,5533.6,5586.61
29/04/2010,5586.61,5638.82,5579.69,5617.84
30/04/2010,5617.84,5643.87,5540.6,5553.29
03/05/2010,5553.29,5643.87,5540.6,5553.29
04/05/2010,5553.29,5565.99,5398.86,5411.11
05/05/2010,5411.11,5428.77,5304.61,5341.93
06/05/2010,5341.93,5371.54,5251.28,5260.99
07/05/2010,5260.99,5264.48,5045.3,5123.02
10/05/2010,5123.02,5399.75,5123.41,5387.42
11/05/2010,5387.42,5385.08,5257.15,5334.21
12/05/2010,5334.21,5401.02,5284.65,5383.45
13/05/2010,5383.45,5435.99,5381.55,5433.73
14/05/2010,5433.73,5433.62,5245.38,5262.85
17/05/2010,5262.85,5327.46,5231.6,5262.54
18/05/2010,5262.54,5341.41,5262.79,5307.34
19/05/2010,5307.34,5302.47,5158.08,5158.08
20/05/2010,5158.08,5230.18,5000.76,5073.13
21/05/2010,5073.13,5083.96,4957.06,5062.93
24/05/2010,5062.93,5109.44,5021.6,5069.61
25/05/2010,5069.61,5060.19,4898.49,4940.68
26/05/2010,4940.68,5097.91,4940.48,5038.08
27/05/2010,5038.08,5195.37,5038.24,5195.17
28/05/2010,5195.17,5240.27,5186.04,5188.43
31/05/2010,5195.17,5240.27,5186.04,5188.43
01/06/2010,5188.45,5192.08,5063.2,5163.3
02/06/2010,5163.07,5163.07,5072.53,5151.32
03/06/2010,5151.54,5262.5,5151.54,5211.18
04/06/2010,5211.3,5261.71,5102.05,5126
07/06/2010,5125.94,5125.94,5040.26,5069.06
08/06/2010,5070.93,5084.13,4984.66,5028.15
09/06/2010,5028.32,5085.86,4998.06,5085.86
10/06/2010,5085.63,5149.69,5030.93,5132.5
11/06/2010,5132.84,5184.37,5116.72,5163.68
14/06/2010,5163.85,5215.22,5163.85,5202.13
15/06/2010,5201.71,5242.08,5149.13,5217.82
16/06/2010,5218.03,5257.26,5209.39,5237.92
17/06/2010,5237.87,5293.76,5233.2,5253.89
18/06/2010,5253.95,5289.14,5239.37,5250.84
21/06/2010,5259.82,5331.46,5259.82,5299.11
22/06/2010,5299.02,5299.02,5210.02,5246.98
23/06/2010,5246.72,5247.85,5165.82,5178.52
24/06/2010,5178.67,5211.8,5090.96,5100.23
25/06/2010,5100.21,5130.5,5031.72,5046.47
28/06/2010,5046.49,5085.65,5024.7,5071.68
29/06/2010,5071.31,5071.31,4899.02,4914.22
30/06/2010,4914.37,4961.9,4898.51,4916.87
01/07/2010,4916.72,4916.72,4790.04,4805.75
02/07/2010,4806.18,4880.88,4806.18,4838.09
05/07/2010,4838.12,4863.35,4821.09,4823.53
06/07/2010,4823.61,4967.65,4823.61,4965
07/07/2010,4964.7,5014.82,4891.97,5014.82
08/07/2010,5015.02,5123.53,5015.02,5105.45
09/07/2010,5105.6,5150.64,5098.79,5132.94
12/07/2010,5132.9,5193.22,5128.6,5167.02
13/07/2010,5167.08,5272.3,5167.01,5271.02
14/07/2010,5272.62,5287.28,5205.78,5253.52
15/07/2010,5252.67,5268.41,5187.46,5211.29
16/07/2010,5211.8,5273.58,5153.29,5158.85
19/07/2010,5158.67,5196.77,5111.89,5148.28
20/07/2010,5148.81,5179.99,5090.57,5139.46
21/07/2010,5140.09,5244.88,5140.09,5214.64
22/07/2010,5214.43,5319.48,5180.98,5313.81
23/07/2010,5314.01,5328.51,5272.67,5312.62
26/07/2010,5312.69,5351.92,5301.29,5351.12
27/07/2010,5351.37,5411.45,5351.37,5365.67
28/07/2010,5365.71,5398.1,5314.57,5319.68
29/07/2010,5317.81,5375.23,5313.95,5313.95
30/07/2010,5314.18,5322.67,5245.52,5258.02
02/08/2010,5259.04,5401.69,5259.04,5397.11
03/08/2010,5397.05,5397.26,5353.49,5396.48
04/08/2010,5396.45,5406.83,5318.79,5386.16
05/08/2010,5382.59,5416.76,5356.83,5365.78
06/08/2010,5365.99,5408.06,5307.6,5332.39
09/08/2010,5332.66,5418.58,5332.66,5410.52
10/08/2010,5410.54,5411.56,5348.11,5376.41
11/08/2010,5376.23,5376.23,5245.03,5245.21
12/08/2010,5245.05,5272.5,5210.55,5266.06
13/08/2010,5266.17,5308.84,5225.91,5275.44
16/08/2010,5275.61,5304.64,5228.64,5276.1
17/08/2010,5276.14,5351.45,5276.14,5350.55
18/08/2010,5349.97,5349.97,5296.93,5302.87
19/08/2010,5303.1,5336.35,5205.64,5211.29
20/08/2010,5211.23,5233.02,5160.43,5195.28
23/08/2010,5195.29,5268.43,5186.92,5234.84
24/08/2010,5234.8,5234.8,5109.88,5155.95
25/08/2010,5155.86,5168.46,5070.94,5109.4
26/08/2010,5109.52,5167.76,5109.52,5155.84
27/08/2010,5155.77,5211.58,5121,5201.56
30/08/2010,5201.56,5211.58,5121,5201.56
31/08/2010,5200.98,5225.22,5129.66,5225.22
01/09/2010,5225.58,5366.41,5225.58,5366.41
02/09/2010,5366.69,5383.72,5346.96,5371.04
03/09/2010,5371.06,5454.01,5371.06,5428.15
06/09/2010,5428.4,5459.4,5428.32,5439.19
07/09/2010,5439.18,5439.21,5381.07,5407.82
08/09/2010,5407.76,5445.62,5361.42,5429.74
09/09/2010,5429.52,5505.66,5412.48,5494.16
10/09/2010,5494.01,5511.52,5475.94,5501.64
13/09/2010,5501.79,5571.39,5501.71,5565.53
14/09/2010,5565.43,5582.46,5541.5,5567.41
15/09/2010,5566.64,5578.69,5535.95,5555.56
16/09/2010,5555.74,5564.46,5533.96,5540.14
17/09/2010,5540.19,5612.89,5508.45,5508.45
20/09/2010,5508.63,5607.31,5508.62,5602.54
21/09/2010,5601.78,5635.72,5576.19,5576.19
22/09/2010,5576.24,5597.55,5516.86,5551.91
23/09/2010,5552.16,5588.79,5471.69,5547.08
24/09/2010,5547.06,5612.54,5516.46,5598.48
27/09/2010,5598.52,5615.78,5569.89,5573.42
28/09/2010,5572.71,5582.05,5506.07,5578.44
29/09/2010,5578.71,5624.5,5544.72,5569.27
30/09/2010,5569.05,5650.33,5539.06,5548.62
01/10/2010,5548.67,5615.14,5547.55,5592.9
04/10/2010,5592.84,5601.22,5550.79,5555.97
05/10/2010,5554.55,5646.08,5550.57,5635.76
06/10/2010,5635.82,5695.51,5635.82,5681.39
07/10/2010,5681.51,5707.33,5650.78,5662.13
08/10/2010,5662.2,5663.74,5606.6,5657.61
11/10/2010,5657.51,5685.95,5655.7,5672.4
12/10/2010,5672.35,5677.02,5597.46,5661.59
13/10/2010,5664.27,5760.49,5662.38,5747.35
14/10/2010,5747.46,5770.92,5712.88,5727.21
15/10/2010,5727.62,5743.92,5665.95,5703.37
18/10/2010,5700.05,5748.81,5670.07,5742.52
19/10/2010,5742.68,5761.93,5690.58,5703.89
20/10/2010,5703.91,5729.96,5680.43,5728.93
21/10/2010,5728.94,5786.73,5698.02,5757.86
22/10/2010,5757.63,5758.01,5724.31,5741.37
25/10/2010,5741.41,5794.31,5741.41,5751.98
26/10/2010,5751.97,5754.2,5677.2,5707.3
27/10/2010,5707.14,5707.14,5630.85,5646.02
28/10/2010,5646.16,5711.82,5645.96,5677.89
29/10/2010,5678.09,5699.23,5647.05,5675.16
01/11/2010,5675.13,5733.01,5667.39,5694.62
02/11/2010,5694.6,5771.63,5690.44,5757.43
03/11/2010,5757.48,5773.73,5730.47,5748.97
04/11/2010,5749.23,5876.03,5749.11,5862.79
05/11/2010,5862.92,5899.37,5834.03,5875.35
08/11/2010,5875.39,5880.99,5841.29,5849.96
09/11/2010,5849.9,5902.11,5847.43,5875.19
10/11/2010,5875.15,5876.97,5796.23,5816.94
11/11/2010,5816.67,5846.45,5792.56,5815.23
12/11/2010,5814.88,5831.81,5711.73,5796.87
15/11/2010,5796.64,5832.88,5755.68,5820.41
16/11/2010,5820.43,5820.43,5680.87,5681.9
17/11/2010,5681.84,5704.39,5659.65,5692.56
18/11/2010,5692.76,5782.98,5692.76,5768.71
19/11/2010,5768.68,5774.07,5684.49,5732.83
22/11/2010,5732.89,5783.14,5668.48,5680.83
23/11/2010,5681.06,5681.06,5581.28,5581.28
24/11/2010,5581.29,5671.87,5573.33,5657.1
25/11/2010,5657.02,5707.92,5654.7,5698.93
26/11/2010,5698.67,5699.02,5599.29,5668.7
29/11/2010,5668.67,5722.7,5550.95,5550.95
30/11/2010,5550.92,5597,5519.19,5528.27
01/12/2010,5528.37,5656.22,5528.37,5642.5
02/12/2010,5644.84,5770.94,5644.84,5767.56
03/12/2010,5767.67,5784.26,5720.2,5745.32
06/12/2010,5745.39,5785.7,5728.46,5770.28
07/12/2010,5770.22,5850.4,5769.67,5808.45
08/12/2010,5808.35,5826.59,5774.28,5794.53
09/12/2010,5794.55,5837.96,5794.55,5807.96
10/12/2010,5808.03,5827.59,5794.51,5812.95
13/12/2010,5813,5873.71,5812.94,5860.75
14/12/2010,5861.04,5891.21,5847.15,5891.21
15/12/2010,5891.01,5898.04,5858.11,5882.18
16/12/2010,5882.28,5907.1,5862.86,5881.12
17/12/2010,5881.19,5902.53,5857.33,5871.75
20/12/2010,5871.72,5913.83,5865.51,5891.61
21/12/2010,5891.66,5953.94,5891.14,5951.8
22/12/2010,5951.82,5991.9,5936.3,5983.49
23/12/2010,5983.54,6000.55,5982.16,5996.07
24/12/2010,5995.76,6008.92,5978.24,6008.92
27/12/2010,6008.92,6008.92,5978.24,6008.92
28/12/2010,6008.92,6008.92,5978.24,6008.92
29/12/2010,6002.82,6021.46,5976.98,5996.36
30/12/2010,5996.35,6009.84,5969.71,5971.01
31/12/2010,5971.62,5985.7,5899.94,5899.94
03/01/2011,5899.94,5985.7,5899.94,5899.94
04/01/2011,5900.13,6049.45,5900.13,6013.87
05/01/2011,6013.78,6043.86,5964.43,6043.86
06/01/2011,6043.8,6090.49,6004.56,6019.51
07/01/2011,6019.47,6023.7,5973.41,5984.33
10/01/2011,5983.75,5984.25,5939.89,5956.3
11/01/2011,5956.92,6035.89,5956.92,6014.03
12/01/2011,6014.08,6050.72,6013.87,6050.72
13/01/2011,6050.73,6055.47,6005.51,6023.88
14/01/2011,6023.81,6031.74,5948.47,6002.07
17/01/2011,6009.68,6013.4,5975.64,5985.7
18/01/2011,5985.79,6065.71,5985.48,6056.43
19/01/2011,6056.71,6077.06,5974.79,5976.7
20/01/2011,5976.66,5977.5,5867.29,5867.91
21/01/2011,5868.11,5939.33,5868.08,5896.25
24/01/2011,5896.34,5960.55,5887.6,5943.85
25/01/2011,5943.9,5964.69,5904.33,5917.71
26/01/2011,5917.9,6003.28,5917.9,5969.21
27/01/2011,5967.9,5997.33,5950.72,5965.08
28/01/2011,5964.54,5965.84,5877.88,5881.37
31/01/2011,5880.63,5881.72,5815.44,5862.94
01/02/2011,5862.97,5963.72,5862.97,5957.82
02/02/2011,5960.19,6020.46,5960.19,6000.07
03/02/2011,6000.29,6000.29,5951.82,5983.34
04/02/2011,5983.44,6023.41,5983.33,5997.38
07/02/2011,5996.98,6054.09,5996.61,6051.03
08/02/2011,6050.42,6091.33,6032.88,6091.33
09/02/2011,6091.32,6091.32,6049.5,6052.29
10/02/2011,6052.2,6052.2,5986.48,6020.01
11/02/2011,6019.97,6071.4,5973.44,6062.9
14/02/2011,6062.82,6091.48,6042.1,6060.09
15/02/2011,6060.04,6072.07,6023.77,6037.08
16/02/2011,6035.39,6095.76,6033.51,6085.27
17/02/2011,6084.68,6101.42,6066.71,6087.38
18/02/2011,6087.43,6096.78,6048.83,6082.99
21/02/2011,6082.85,6105.77,6013.14,6014.8
22/02/2011,6014.42,6028.56,5926.55,5996.76
23/02/2011,5996.72,5996.72,5915.52,5923.53
24/02/2011,5922.92,5936.68,5860.95,5919.98
25/02/2011,5920.71,6011.5,5920.71,6001.2
28/02/2011,6000.88,6022.33,5963.58,5994.01
01/03/2011,5994.14,6040.43,5927.43,5935.76
02/03/2011,5935.73,5941.82,5865.92,5914.89
03/03/2011,5915.66,6017.08,5915.66,6005.09
04/03/2011,6005.28,6052.08,5983.21,5990.39
07/03/2011,5990.57,6043.12,5967.68,5973.78
08/03/2011,5973.81,5999.93,5911,5974.76
09/03/2011,5975.57,5979.33,5922.66,5937.3
10/03/2011,5937.17,5937.2,5833.23,5845.29
11/03/2011,5845.08,5845.08,5796.44,5828.67
14/03/2011,5828.05,5842.04,5769.04,5775.24
15/03/2011,5774.19,5774.19,5591.59,5695.28
16/03/2011,5693.05,5720.92,5598.23,5598.23
17/03/2011,5602.13,5707.68,5602.13,5696.11
